111,1,2,1
122,2,3,2
137,2,4,2
143,2,5,2
143,3,6,3
152,4,7,4
153,2,8,2
164,4,9,4
166,3,10,3
175,2,11,2
176,4,12,4
180,11,13,11
182,9,14,9
186,4,15,4
186,6,16,6
188,2,17,2
190,6,18,6
195,8,19,8
197,16,20,16
198,3,21,3
199,6,22,6
202,10,23,10
204,15,24,15
207,19,25,19
208,18,26,18
209,13,27,13
211,14,28,14
214,8,29,8
216,5,30,5
216,27,31,27
219,31,32,31
220,14,33,14
221,18,34,18
222,23,35,23
225,15,36,15
225,21,37,21
225,22,38,22
226,11,39,11
227,32,40,32
228,29,41,29
230,14,42,14
231,31,43,31
232,37,44,37
233,8,45,8
233,36,46,36
236,23,47,23
236,25,48,25
236,35,49,35
240,12,50,12
241,30,51,30
242,40,52,40
244,4,53,4
244,26,54,26
246,51,55,51
249,24,56,24
250,45,57,45
250,49,58,49
252,11,59,11
253,33,60,33
254,7,61,7
255,32,62,32
256,15,63,15
256,22,64,22
258,14,65,14
258,42,66,42
259,32,67,32
260,18,68,18
262,63,69,63
263,11,70,11
264,51,71,51
266,13,72,13
268,6,73,6
268,26,74,26
268,42,75,42
269,36,76,36
271,23,77,23
271,24,78,24
271,58,79,58
272,55,80,55
273,4,81,4
273,6,82,6
273,9,83,9
273,15,84,15
273,52,85,52
276,37,86,37
276,59,87,59
276,70,88,70
277,67,89,67
277,83,90,83
278,58,91,58
279,15,92,15
281,19,93,19
281,55,94,55
281,67,95,67
282,28,96,28
282,63,97,63
283,5,98,5
283,59,99,59
284,84,100,84
285,60,101,60
285,62,102,62
286,51,103,51
286,68,104,68
287,67,105,67
287,70,106,70
288,77,107,77
288,79,108,79
290,6,109,6
290,16,110,16
290,97,111,97
291,101,112,101
291,107,113,107
293,62,114,62
293,94,115,94
294,8,116,8
294,24,117,24
294,84,118,84
295,79,119,79
295,99,120,99
295,109,121,109
297,77,122,77
297,80,123,80
297,85,124,85
298,8,125,8
298,97,126,97
298,117,127,117
299,62,128,62
299,93,129,93
299,94,130,94
299,118,131,118
300,79,132,79
