149,1,2,1
170,1,3,1
180,2,4,2
188,1,5,1
195,1,6,1
201,3,7,3
201,5,8,5
205,8,9,8
207,2,10,2
215,2,11,2
215,9,12,9
219,3,13,3
220,10,14,10
220,12,15,12
221,8,16,8
226,14,17,14
226,15,18,15
227,6,19,6
228,9,20,9
230,13,21,13
231,18,22,18
232,3,23,3
232,17,24,17
239,4,25,4
239,14,26,14
240,1,27,1
240,15,28,15
240,18,29,18
241,21,30,21
244,2,31,2
245,9,32,9
247,28,33,28
248,31,34,31
250,25,35,25
252,12,36,12
253,5,37,5
254,30,38,30
255,29,39,29
257,37,40,37
259,14,41,14
259,33,42,33
260,7,43,7
260,21,44,21
261,1,45,1
263,28,46,28
263,31,47,31
263,36,48,36
264,16,49,16
269,4,50,4
269,24,51,24
271,27,52,27
272,16,53,16
272,44,54,44
274,26,55,26
274,51,56,51
275,2,57,2
275,19,58,19
276,14,59,14
276,48,60,48
277,37,61,37
278,46,62,46
280,48,63,48
280,50,64,50
283,36,65,36
283,47,66,47
285,54,67,54
286,52,68,52
286,62,69,62
287,40,70,40
288,9,71,9
288,14,72,14
288,21,73,21
288,27,74,27
288,59,75,59
290,41,76,41
290,64,77,64
293,28,78,28
293,36,79,36
293,65,80,65
294,8,81,8
294,56,82,56
294,70,83,70
294,76,84,76
295,10,85,10
295,42,86,42
298,22,87,22
299,26,88,26
299,68,89,68
299,69,90,69
299,82,91,82
300,36,92,36
